,iteracion,media_fitness,nro_cromosomas,nro_variables,segundos
0,1.0,-3005.860251966027,460.0,3.993478260869565,31.059012174606323
1,2.0,-3052.9967116134594,424.0,4.474056603773585,58.31100058555603
2,3.0,-3090.0983830318823,392.0,4.913265306122449,82.25601196289062
3,4.0,-3113.6487835072553,362.0,5.31767955801105,103.57400393486023
4,5.0,-3130.9498635661225,336.0,5.785714285714286,122.2560122013092
5,6.0,-3155.7179581530854,312.0,6.256410256410256,139.02201199531555
6,7.0,-3180.4432592819253,290.0,6.751724137931035,154.09201192855835
7,8.0,-3196.115957512154,270.0,7.185185185185185,167.56201195716858
8,9.0,-3215.991046853224,252.0,7.658730158730159,179.683012008667
9,10.0,-3233.0904521346088,236.0,8.182203389830509,190.70401191711426
10,11.0,-3247.1611119246813,222.0,8.68918918918919,200.801011800766
11,12.0,-3261.395044984643,210.0,9.176190476190476,210.0430145263672
12,13.0,-3280.3103356531524,198.0,9.757575757575758,218.7439992427826
13,14.0,-3303.3113845217813,188.0,10.23404255319149,226.69701218605042
14,15.0,-3320.2645061393546,180.0,10.78888888888889,234.09899926185608
15,16.0,-3339.446274226098,172.0,11.133720930232558,241.00601196289062
16,17.0,-3356.907910439726,164.0,11.573170731707316,247.6350119113922
17,18.0,-3365.219653669791,158.0,11.99367088607595,253.90500044822693
18,19.0,-3369.634815797951,152.0,12.480263157894736,259.7570118904114
19,20.0,-3371.064029525805,146.0,12.897260273972602,265.344012260437
20,21.0,-3372.108143603858,142.0,13.338028169014084,270.65100145339966
21,22.0,-3375.27345635046,138.0,13.77536231884058,275.7580120563507
22,23.0,-3376.356922409332,134.0,14.067164179104477,280.7559995651245
23,24.0,-3377.566076375049,130.0,14.492307692307692,285.58101177215576
24,25.0,-3380.88718232722,126.0,14.976190476190476,290.1891450881958
25,26.0,-3382.4146556268256,124.0,15.370967741935484,294.63101172447205
26,27.0,-3382.7165250213466,122.0,15.581967213114755,298.94701194763184
27,28.0,-3384.583665713877,120.0,15.825,303.2270121574402
28,29.0,-3385.6349660623523,118.0,16.220338983050848,307.36901235580444
29,30.0,-3386.6903533080913,116.0,16.448275862068964,311.47601199150085
30,31.0,-3386.8477051172526,114.0,16.657894736842106,315.47401213645935
31,32.0,-3388.4040412841427,112.0,16.839285714285715,319.3890120983124
32,33.0,-3389.0271875106414,110.0,17.045454545454547,323.3420150279999
33,34.0,-3389.14395936183,108.0,17.38888888888889,327.1480014324188
34,35.0,-3390.1646451546867,108.0,17.453703703703702,330.8150005340576
35,36.0,-3390.8259213967754,108.0,17.703703703703702,334.51401233673096
36,37.0,-3391.3785091107443,108.0,17.916666666666668,338.1750123500824
37,38.0,-3392.472114400796,108.0,18.11111111111111,341.9200122356415
38,39.0,-3392.188735832854,108.0,18.34259259259259,345.6280126571655
39,40.0,-3392.9500225473303,108.0,18.40740740740741,349.44101190567017
40,41.0,-3392.4941394713114,108.0,18.62037037037037,353.19101214408875
41,42.0,-3393.1416546663772,108.0,18.73148148148148,356.88601207733154
42,43.0,-3393.511401853088,108.0,18.99074074074074,360.58601212501526
43,44.0,-3393.761815630556,108.0,19.13888888888889,364.2670123577118
44,45.0,-3394.416925600724,108.0,19.22222222222222,367.93001198768616
45,46.0,-3395.4032095570296,108.0,19.212962962962962,371.6100118160248
46,47.0,-3396.0862930981352,108.0,19.27777777777778,375.29801201820374
47,48.0,-3395.9880492485904,108.0,19.296296296296298,378.9920120239258
48,49.0,-3396.261098118586,108.0,19.546296296296298,382.67601251602173
49,50.0,-3396.999438558616,108.0,19.65740740740741,386.400999546051
50,51.0,-3397.748883678814,108.0,19.675925925925927,390.20601201057434
51,52.0,-3398.344070669671,108.0,19.77777777777778,393.95601201057434
52,53.0,-3398.910834293987,108.0,19.74074074074074,397.65499925613403
53,54.0,-3399.355982558383,108.0,19.75,401.3660125732422
54,55.0,-3399.776683145407,108.0,19.60185185185185,405.0760123729706
