,iteracion,media_fitness,nro_cromosomas,nro_variables,segundos
0,1.0,-2957.351684323237,476.0,3.588235294117647,51.42701172828674
1,2.0,-2958.5186110690315,454.0,3.762114537444934,103.67300271987915
2,3.0,-2984.003798670062,432.0,3.877314814814815,144.78101181983948
3,4.0,-2989.2833607175926,412.0,3.9514563106796117,181.66101217269897
4,5.0,-2999.2896932259914,392.0,4.063775510204081,216.09001183509827
5,6.0,-3006.327050232549,374.0,4.184491978609626,246.1400122642517
6,7.0,-3013.2554515076354,356.0,4.317415730337078,277.0770015716553
7,8.0,-3022.0257561853946,340.0,4.373529411764705,306.1380126476288
8,9.0,-3027.3000852630516,324.0,4.5,332.11901211738586
9,10.0,-3035.5631803630545,308.0,4.646103896103896,355.86901211738586
10,11.0,-3054.0699793290023,294.0,4.761904761904762,376.3020007610321
11,12.0,-3042.8788754453353,280.0,4.889285714285714,394.7759997844696
12,13.0,-3053.9195492831964,266.0,4.984962406015038,413.12101197242737
13,14.0,-3062.3847380990082,254.0,5.137795275590551,431.57991075515747
14,15.0,-3066.1906487447295,242.0,5.264462809917355,447.9959237575531
15,16.0,-3082.3906202429416,230.0,5.356521739130435,463.75392389297485
16,17.0,-3088.7331210066163,220.0,5.5,477.54791140556335
17,18.0,-3084.5570669124827,210.0,5.609523809523809,489.35891246795654
18,19.0,-3107.8250965109632,200.0,5.765,500.07392406463623
19,20.0,-3111.7948542579015,190.0,5.889473684210526,509.74992394447327
20,21.0,-3120.826340509428,182.0,6.027472527472527,521.1129240989685
21,22.0,-3120.1245110309837,174.0,6.137931034482759,529.1519236564636
22,23.0,-3138.7800112809996,166.0,6.319277108433735,537.4059236049652
23,24.0,-3130.6492365580234,158.0,6.424050632911392,545.5239119529724
24,25.0,-3133.789891434388,152.0,6.552631578947368,552.7019238471985
25,26.0,-3139.1658623804487,146.0,6.6438356164383565,559.6329236030579
26,27.0,-3136.7323076116077,140.0,6.7785714285714285,567.3329236507416
27,28.0,-3149.9212111349652,134.0,6.932835820895522,573.0959236621857
28,29.0,-3165.252419358374,128.0,7.0390625,578.7319235801697
29,30.0,-3164.5013743745158,122.0,7.131147540983607,584.0289256572723
30,31.0,-3165.7287812247973,116.0,7.258620689655173,588.9929237365723
31,32.0,-3171.0822362730446,112.0,7.339285714285714,594.1009125709534
32,33.0,-3176.3118973164665,108.0,7.444444444444445,598.731924533844
33,34.0,-3180.7019822110833,104.0,7.471153846153846,602.7069129943848
34,35.0,-3178.6627518819087,100.0,7.62,606.7989113330841
35,36.0,-3188.8971712521434,96.0,7.729166666666667,610.7889235019684
36,37.0,-3204.9717221212504,92.0,7.858695652173913,614.3739237785339
37,38.0,-3213.5253371229746,88.0,8.011363636363637,617.6359252929688
38,39.0,-3210.7652843504584,84.0,8.25,621.492910861969
39,40.0,-3219.8681954274325,80.0,8.45,624.4189283847809
40,41.0,-3223.811496552378,76.0,8.605263157894736,627.2489237785339
41,42.0,-3218.928380184108,74.0,8.702702702702704,630.2139236927032
42,43.0,-3225.4776788334784,72.0,8.944444444444445,633.0279126167297
43,44.0,-3216.1559439904427,70.0,9.014285714285714,635.5229115486145
44,45.0,-3234.976315175547,68.0,9.058823529411764,637.9259238243103
45,46.0,-3232.669012482908,66.0,9.090909090909092,640.2699239253998
46,47.0,-3236.70329595436,64.0,9.296875,642.290923833847
47,48.0,-3243.311023884485,62.0,9.338709677419354,644.2679235935211
48,49.0,-3244.8185687351006,60.0,9.533333333333333,646.3739156723022
49,50.0,-3240.7899843623954,58.0,9.568965517241379,648.2689237594604
50,51.0,-3260.983585442148,56.0,9.982142857142858,650.1299123764038
51,52.0,-3268.035249350266,54.0,10.296296296296296,652.080913066864
52,53.0,-3279.7100442123606,52.0,10.442307692307692,653.7849259376526
53,54.0,-3278.009856510631,50.0,10.48,655.3559122085571
54,55.0,-3279.9039835618573,48.0,10.625,656.9439132213593
55,56.0,-3287.965303956374,46.0,10.847826086956522,658.6229135990143
56,57.0,-3296.83694510427,44.0,11.136363636363637,660.159924030304
57,58.0,-3292.7938566625353,42.0,11.452380952380953,661.4749116897583
58,59.0,-3302.332121522503,40.0,11.7,662.7839131355286
59,60.0,-3303.9886193028638,38.0,11.921052631578947,663.9799108505249
60,61.0,-3305.700120753937,38.0,12.131578947368421,665.2459118366241
61,62.0,-3312.850389534972,38.0,12.289473684210526,666.421911239624
62,63.0,-3318.1875970586566,38.0,12.31578947368421,667.5179114341736
63,64.0,-3318.0050042274975,38.0,12.526315789473685,668.7759115695953
64,65.0,-3323.7423349813967,38.0,12.763157894736842,669.957911491394
65,66.0,-3325.7545775057056,38.0,12.894736842105264,671.0349113941193
66,67.0,-3325.4658734878203,38.0,13.078947368421053,672.2439110279083
67,68.0,-3333.1551478008923,38.0,13.236842105263158,673.6919236183167
68,69.0,-3339.0850977361297,38.0,13.394736842105264,675.0439114570618
69,70.0,-3339.135273752917,38.0,13.421052631578947,676.2569115161896
70,71.0,-3338.935476959541,38.0,13.421052631578947,677.6999118328094
71,72.0,-3342.271898210348,38.0,13.631578947368421,678.8579125404358
72,73.0,-3344.1853681467837,38.0,13.710526315789474,680.0119113922119
73,74.0,-3341.6544475338483,38.0,13.81578947368421,681.1249113082886
74,75.0,-3346.0793212967214,38.0,13.894736842105264,682.5719261169434
75,76.0,-3348.9480978091156,38.0,13.842105263157896,683.9279134273529
76,77.0,-3341.768452889102,38.0,13.842105263157896,685.0619118213654
77,78.0,-3351.8034854063503,38.0,13.921052631578947,686.2549114227295
78,79.0,-3345.9383369122916,38.0,14.026315789473685,687.6189239025116
79,80.0,-3344.5904974954133,38.0,14.026315789473685,688.9999113082886
80,81.0,-3341.8699793365713,38.0,14.18421052631579,690.0859107971191
